wallet_address,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,num_liquidations,num_deposits,num_borrows,num_repays,num_redeems,num_transfers,unique_tx_types,total_tx_count,total_comp_received,avg_borrow_per_tx,avg_repay_per_tx,compound_core_tx_count,compound_reward_tx_count,interest_event_count,collateral_management_count,defi_interaction_count,token_interaction_count,negative_event_count,staking_voting_count,defi_diversity_score,compound_core_tx_ratio,collateral_to_borrow_ratio,last_tx_timestamp,debt_to_collateral_ratio,liquidation_to_tx_ratio,credit_score
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,2,0.0,0.0,0.0,0,2,2,0,0,2,0,0,0,0.0,0.0,2020-11-08 01:41:49+00:00,0.0,0.0,0.0
0x7de76a449cf60ea3e111ff18b28e516d89532152,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-05 05:18:47+00:00,0.0,0.0,0.0
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,0.0,0.0,0.0,0.0,0,0,0,0,1,8,4,3,0.0,0.0,0.0,1,0,3,1,0,8,0,0,0,0.3333333333333333,1.0,2020-05-08 00:36:25+00:00,0.0,0.0,0.0
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-12-12 19:47:53+00:00,0.0,0.0,0.0
0x83ea74c67d393c6894c34c464657bda2183a2f1a,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-05 19:07:15+00:00,0.0,0.0,0.0
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,2,0.0,0.0,0.0,0,3,1,0,0,2,0,0,0,0.0,0.0,2021-07-10 04:55:45+00:00,0.0,0.0,0.0
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-19 10:27:47+00:00,0.0,0.0,0.0
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-15 00:57:18+00:00,0.0,0.0,0.0
0x880a0af12da55df1197f41697c1a1b61670ed410,0.0,0.0,0.0,0.0,0,0,0,0,2,8,5,6,0.0,0.0,0.0,2,4,4,2,0,8,0,0,0,0.3333333333333333,2.0,2020-11-04 18:01:53+00:00,0.0,0.0,0.0
0x8aaece100580b749a20f8ce30338c4e0770b65ed,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-10-15 17:12:00+00:00,0.0,0.0,0.0
0x8be38ea2b22b706aef313c2de81f7d179024dd30,0.0,0.0,0.0,0.0,0,0,0,0,2,7,7,9,0.0,0.0,0.0,5,4,4,2,0,8,0,0,0,0.5555555555555556,2.0,2021-06-01 16:33:35+00:00,0.0,0.0,0.0
0x8d900f213db5205c529aaba5d10e71a0ed2646db,0.0,0.0,0.0,0.0,0,0,0,0,1,4,5,2,0.0,0.0,0.0,1,2,2,1,0,4,0,0,0,0.5,1.0,2021-01-14 01:42:02+00:00,0.0,0.0,0.0
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0.0,0.0,0.0,0,1,1,0,0,2,0,0,0,0.0,0.0,2020-11-13 20:25:02+00:00,0.0,0.0,0.0
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,0.0,0.0,0.0,0.0,0,0,0,0,0,3,4,2,0.0,0.0,0.0,0,2,2,0,0,3,0,0,0,0.0,0.0,2020-10-20 19:11:57+00:00,0.0,0.0,0.0
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,0.0,0.0,0.0,0.0,0,0,0,0,0,1,4,1,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0.0,0.0,2020-11-28 16:19:14+00:00,0.0,0.0,0.0
